Date,FIPS,State,Area_Name,Housing_Prices
2014,01001,AL,Autauga County,22950
2014,01003,AL,Baldwin County,108018
2014,01005,AL,Barbour County,11923
2014,01007,AL,Bibb County,9070
2014,01009,AL,Blount County,24056
2014,01011,AL,Bullock County,4516
2014,01013,AL,Butler County,10013
2014,01015,AL,Calhoun County,53380
2014,01017,AL,Chambers County,16962
2014,01019,AL,Cherokee County,16420
2014,01021,AL,Chilton County,19465
2014,01023,AL,Choctaw County,7291
2014,01025,AL,Clarke County,12693
2014,01027,AL,Clay County,6783
2014,01029,AL,Cleburne County,6774
2014,01031,AL,Coffee County,22962
2014,01033,AL,Colbert County,26228
2014,01035,AL,Conecuh County,7126
2014,01037,AL,Coosa County,6527
2014,01039,AL,Covington County,18902
2014,01041,AL,Crenshaw County,6769
2014,01043,AL,Cullman County,37330
2014,01045,AL,Dale County,22978
2014,01047,AL,Dallas County,20352
2014,01049,AL,DeKalb County,31049
2014,01051,AL,Elmore County,33499
2014,01053,AL,Escambia County,16514
2014,01055,AL,Etowah County,47577
2014,01057,AL,Fayette County,8455
2014,01059,AL,Franklin County,13962
2014,01061,AL,Geneva County,12763
2014,01063,AL,Greene County,5045
2014,01065,AL,Hale County,7698
2014,01067,AL,Henry County,9050
2014,01069,AL,Houston County,46602
2014,01071,AL,Jackson County,24839
2014,01073,AL,Jefferson County,304037
2014,01075,AL,Lamar County,7370
2014,01077,AL,Lauderdale County,44420
2014,01079,AL,Lawrence County,15172
2014,01081,AL,Lee County,66025
2014,01083,AL,Limestone County,35430
2014,01085,AL,Lowndes County,5162
2014,01087,AL,Macon County,10271
2014,01089,AL,Madison County,154372
2014,01091,AL,Marengo County,10285
2014,01093,AL,Marion County,14640
2014,01095,AL,Marshall County,40411
2014,01097,AL,Mobile County,181826
2014,01099,AL,Monroe County,11362
2014,01101,AL,Montgomery County,103389
2014,01103,AL,Morgan County,51635
2014,01105,AL,Perry County,4727
2014,01107,AL,Pickens County,9521
2014,01109,AL,Pike County,15947
2014,01111,AL,Randolph County,12033
2014,01113,AL,Russell County,26935
2014,01115,AL,St. Clair County,36065
2014,01117,AL,Shelby County,83862
2014,01119,AL,Sumter County,6810
2014,01121,AL,Talladega County,37531
2014,01123,AL,Tallapoosa County,22151
2014,01125,AL,Tuscaloosa County,87089
2014,01127,AL,Walker County,30876
2014,01129,AL,Washington County,8471
2014,01131,AL,Wilcox County,5700
2014,01133,AL,Winston County,13544
2014,02013,AK,Aleutians East Borough,752
2014,02016,AK,Aleutians West Census Area,1944
2014,02020,AK,Anchorage Municipality,114962
2014,02050,AK,Bethel Census Area,5980
2014,02060,AK,Bristol Bay Borough,970
2014,02068,AK,Denali Borough,1768
2014,02070,AK,Dillingham Census Area,2441
2014,02090,AK,Fairbanks North Star Borough,43667
2014,02100,AK,Haines Borough,1649
2014,02105,AK,Hoonah-Angoon Census Area,1758
2014,02110,AK,Juneau City and Borough,13306
2014,02122,AK,Kenai Peninsula Borough,30929
2014,02130,AK,Ketchikan Gateway Borough,6299
2014,02150,AK,Kodiak Island Borough,5365
2014,02158,AK,Kusilvak Census Area,2223
2014,02164,AK,Lake and Peninsula Borough,1513
2014,02170,AK,Matanuska-Susitna Borough,41573
2014,02180,AK,Nome Census Area,4066
2014,02185,AK,North Slope Borough,2595
2014,02188,AK,Northwest Arctic Borough,2715
2014,02195,AK,Petersburg Borough,1666
2014,02198,AK,Prince of Wales-Hyder Census Area,3404
2014,02220,AK,Sitka City and Borough,4163
2014,02230,AK,Skagway Municipality,669
2014,02240,AK,Southeast Fairbanks Census Area,3911
2014,02261,AK,Valdez-Cordova Census Area,6157
2014,02275,AK,Wrangell City and Borough,1438
2014,02282,AK,Yakutat City and Borough,454
2014,02290,AK,Yukon-Koyukuk Census Area,4059
2014,04001,AZ,Apache County,32680
