Date,FIPS,State,Area_Name,Net_Migration
2014,01001,AL,Autauga County,108
2014,01003,AL,Baldwin County,3977
2014,01005,AL,Barbour County,-138
2014,01007,AL,Bibb County,30
2014,01009,AL,Blount County,-118
2014,01011,AL,Bullock County,102
2014,01013,AL,Butler County,9
2014,01015,AL,Calhoun County,-468
2014,01017,AL,Chambers County,-129
2014,01019,AL,Cherokee County,-21
2014,01021,AL,Chilton County,30
2014,01023,AL,Choctaw County,-42
2014,01025,AL,Clarke County,-232
2014,01027,AL,Clay County,61
2014,01029,AL,Cleburne County,43
2014,01031,AL,Coffee County,-178
2014,01033,AL,Colbert County,67
2014,01035,AL,Conecuh County,-196
2014,01037,AL,Coosa County,-204
2014,01039,AL,Covington County,17
2014,01041,AL,Crenshaw County,30
2014,01043,AL,Cullman County,326
2014,01045,AL,Dale County,-575
2014,01047,AL,Dallas County,-440
2014,01049,AL,DeKalb County,0
2014,01051,AL,Elmore County,-195
2014,01053,AL,Escambia County,-2
2014,01055,AL,Etowah County,-290
2014,01057,AL,Fayette County,-14
2014,01059,AL,Franklin County,6
2014,01061,AL,Geneva County,-33
2014,01063,AL,Greene County,-175
2014,01065,AL,Hale County,-210
2014,01067,AL,Henry County,-30
2014,01069,AL,Houston County,308
2014,01071,AL,Jackson County,-300
2014,01073,AL,Jefferson County,-968
2014,01075,AL,Lamar County,-81
2014,01077,AL,Lauderdale County,459
2014,01079,AL,Lawrence County,-67
2014,01081,AL,Lee County,1964
2014,01083,AL,Limestone County,1384
2014,01085,AL,Lowndes County,-181
2014,01087,AL,Macon County,-357
2014,01089,AL,Madison County,1721
2014,01091,AL,Marengo County,-137
2014,01093,AL,Marion County,40
2014,01095,AL,Marshall County,-289
2014,01097,AL,Mobile County,-1091
2014,01099,AL,Monroe County,-227
2014,01101,AL,Montgomery County,-1795
2014,01103,AL,Morgan County,-297
2014,01105,AL,Perry County,-156
2014,01107,AL,Pickens County,939
2014,01109,AL,Pike County,-613
2014,01111,AL,Randolph County,-158
2014,01113,AL,Russell County,-390
2014,01115,AL,St. Clair County,119
2014,01117,AL,Shelby County,1194
2014,01119,AL,Sumter County,-133
2014,01121,AL,Talladega County,67
2014,01123,AL,Tallapoosa County,-75
2014,01125,AL,Tuscaloosa County,1149
2014,01127,AL,Walker County,-279
2014,01129,AL,Washington County,18
2014,01131,AL,Wilcox County,-168
2014,01133,AL,Winston County,9
2014,02013,AK,Aleutians East Borough,-9
2014,02016,AK,Aleutians West Census Area,22
2014,02020,AK,Anchorage Municipality,-4515
2014,02050,AK,Bethel Census Area,-269
2014,02060,AK,Bristol Bay Borough,0
2014,02068,AK,Denali Borough,-39
2014,02070,AK,Dillingham Census Area,-47
2014,02090,AK,Fairbanks North Star Borough,-3027
2014,02100,AK,Haines Borough,-2
2014,02105,AK,Hoonah-Angoon Census Area,-35
2014,02110,AK,Juneau City and Borough,-343
2014,02122,AK,Kenai Peninsula Borough,226
2014,02130,AK,Ketchikan Gateway Borough,2
2014,02150,AK,Kodiak Island Borough,-377
2014,02158,AK,Kusilvak Census Area,-59
2014,02164,AK,Lake and Peninsula Borough,-49
2014,02170,AK,Matanuska-Susitna Borough,1349
2014,02180,AK,Nome Census Area,-178
2014,02185,AK,North Slope Borough,-145
2014,02188,AK,Northwest Arctic Borough,-92
2014,02195,AK,Petersburg Borough,-58
2014,02198,AK,Prince of Wales-Hyder Census Area,2
2014,02220,AK,Sitka City and Borough,-171
2014,02230,AK,Skagway Municipality,22
2014,02240,AK,Southeast Fairbanks Census Area,-129
2014,02261,AK,Valdez-Cordova Census Area,-371
2014,02275,AK,Wrangell City and Borough,-23
2014,02282,AK,Yakutat City and Borough,-2
2014,02290,AK,Yukon-Koyukuk Census Area,-126
2014,04001,AZ,Apache County,-920
2014,04003,AZ,Cochise County,-2786
2014,04005,AZ,Coconino County,-68
2014,04007,AZ,Gila County,168
2014,04009,AZ,Graham County,300
2014,04011,AZ,Greenlee County,332
2014,04012,AZ,La Paz County,32
2014,04013,AZ,Maricopa County,48027
2014,04015,AZ,Mohave County,1031
2014,04017,AZ,Navajo County,-60
2014,04019,AZ,Pima County,4075
2014,04021,AZ,Pinal County,7812
2014,04023,AZ,Santa Cruz County,-657
2014,04025,AZ,Yavapai County,4135
2014,04027,AZ,Yuma County,-161
2014,05001,AR,Arkansas County,-284
2014,05003,AR,Ashley County,-326
2014,05005,AR,Baxter County,238
2014,05007,AR,Benton County,3527
2014,05009,AR,Boone County,-268
2014,05011,AR,Bradley County,-68
2014,05013,AR,Calhoun County,-4
2014,05015,AR,Carroll County,-55
2014,05017,AR,Chicot County,-148
