Date,FIPS,State,Area_Name,Population_Estimate
2014,01001,AL,Autauga County,54893
2014,01003,AL,Baldwin County,199183
2014,01005,AL,Barbour County,26755
2014,01007,AL,Bibb County,22553
2014,01009,AL,Blount County,57526
2014,01011,AL,Bullock County,10663
2014,01013,AL,Butler County,20327
2014,01015,AL,Calhoun County,115917
2014,01017,AL,Chambers County,33977
2014,01019,AL,Cherokee County,25895
2014,01021,AL,Chilton County,43760
2014,01023,AL,Choctaw County,13317
2014,01025,AL,Clarke County,24864
2014,01027,AL,Clay County,13441
2014,01029,AL,Cleburne County,15026
2014,01031,AL,Coffee County,50657
2014,01033,AL,Colbert County,54462
2014,01035,AL,Conecuh County,12677
2014,01037,AL,Coosa County,11037
2014,01039,AL,Covington County,37760
2014,01041,AL,Crenshaw County,13851
2014,01043,AL,Cullman County,81068
2014,01045,AL,Dale County,49414
2014,01047,AL,Dallas County,41554
2014,01049,AL,DeKalb County,70993
2014,01051,AL,Elmore County,80538
2014,01053,AL,Escambia County,37735
2014,01055,AL,Etowah County,103399
2014,01057,AL,Fayette County,16772
2014,01059,AL,Franklin County,31559
2014,01061,AL,Geneva County,26593
2014,01063,AL,Greene County,8584
2014,01065,AL,Hale County,15046
2014,01067,AL,Henry County,17079
2014,01069,AL,Houston County,104158
2014,01071,AL,Jackson County,52562
2014,01073,AL,Jefferson County,659972
2014,01075,AL,Lamar County,14067
2014,01077,AL,Lauderdale County,93000
2014,01079,AL,Lawrence County,33444
2014,01081,AL,Lee County,154511
2014,01083,AL,Limestone County,90599
2014,01085,AL,Lowndes County,10494
2014,01087,AL,Macon County,19641
2014,01089,AL,Madison County,349796
2014,01091,AL,Marengo County,19986
2014,01093,AL,Marion County,30199
2014,01095,AL,Marshall County,94257
2014,01097,AL,Mobile County,414149
2014,01099,AL,Monroe County,21926
2014,01101,AL,Montgomery County,227551
2014,01103,AL,Morgan County,119444
2014,01105,AL,Perry County,9801
2014,01107,AL,Pickens County,20272
2014,01109,AL,Pike County,33199
2014,01111,AL,Randolph County,22353
2014,01113,AL,Russell County,59224
2014,01115,AL,St. Clair County,85996
2014,01117,AL,Shelby County,206280
2014,01119,AL,Sumter County,13270
2014,01121,AL,Talladega County,81512
2014,01123,AL,Tallapoosa County,40884
2014,01125,AL,Tuscaloosa County,203086
2014,01127,AL,Walker County,65338
2014,01129,AL,Washington County,16868
2014,01131,AL,Wilcox County,10946
2014,01133,AL,Winston County,24139
2014,02013,AK,Aleutians East Borough,3346
2014,02016,AK,Aleutians West Census Area,5822
2014,02020,AK,Anchorage Municipality,299893
2014,02050,AK,Bethel Census Area,17936
2014,02060,AK,Bristol Bay Borough,947
2014,02068,AK,Denali Borough,1916
2014,02070,AK,Dillingham Census Area,4983
2014,02090,AK,Fairbanks North Star Borough,99254
2014,02100,AK,Haines Borough,2555
2014,02105,AK,Hoonah-Angoon Census Area,2098
2014,02110,AK,Juneau City and Borough,32481
2014,02122,AK,Kenai Peninsula Borough,57558
2014,02130,AK,Ketchikan Gateway Borough,13802
2014,02150,AK,Kodiak Island Borough,13907
2014,02158,AK,Kusilvak Census Area,8100
2014,02164,AK,Lake and Peninsula Borough,1647
2014,02170,AK,Matanuska-Susitna Borough,98103
2014,02180,AK,Nome Census Area,9810
2014,02185,AK,North Slope Borough,9776
2014,02188,AK,Northwest Arctic Borough,7772
2014,02195,AK,Petersburg Borough,3261
2014,02198,AK,Prince of Wales-Hyder Census Area,6463
2014,02220,AK,Sitka City and Borough,8838
2014,02230,AK,Skagway Municipality,1054
2014,02240,AK,Southeast Fairbanks Census Area,6925
2014,02261,AK,Valdez-Cordova Census Area,9478
2014,02275,AK,Wrangell City and Borough,2441
2014,02282,AK,Yakutat City and Borough,655
2014,02290,AK,Yukon-Koyukuk Census Area,5462
2014,04001,AZ,Apache County,71796
2014,04003,AZ,Cochise County,127314
2014,04005,AZ,Coconino County,137566
2014,04007,AZ,Gila County,53044
2014,04009,AZ,Graham County,38099
2014,04011,AZ,Greenlee County,9349
2014,04012,AZ,La Paz County,20516
2014,04013,AZ,Maricopa County,4093648
2014,04015,AZ,Mohave County,203423
2014,04017,AZ,Navajo County,107701
2014,04019,AZ,Pima County,1004229
2014,04021,AZ,Pinal County,395322
2014,04023,AZ,Santa Cruz County,46636
2014,04025,AZ,Yavapai County,217716
2014,04027,AZ,Yuma County,204054
2014,05001,AR,Arkansas County,18479
2014,05003,AR,Ashley County,20956
2014,05005,AR,Baxter County,40888
2014,05007,AR,Benton County,244841
2014,05009,AR,Boone County,37116
2014,05011,AR,Bradley County,11007
2014,05013,AR,Calhoun County,5167
2014,05015,AR,Carroll County,27734
2014,05017,AR,Chicot County,11211
2014,05019,AR,Clark County,22557
2014,05021,AR,Clay County,15299
2014,05023,AR,Cleburne County,25591
2014,05025,AR,Cleveland County,8399
