Date,FIPS,State,Area_Name,Unemployement
2014,01001,AL,Autauga County,5.8
2014,01003,AL,Baldwin County,6.1
2014,01005,AL,Barbour County,10.5
2014,01007,AL,Bibb County,7.2
2014,01009,AL,Blount County,6.1
2014,01011,AL,Bullock County,8.8
2014,01013,AL,Butler County,8.6
2014,01015,AL,Calhoun County,8.0
2014,01017,AL,Chambers County,6.7
2014,01019,AL,Cherokee County,5.8
2014,01021,AL,Chilton County,6.3
2014,01023,AL,Choctaw County,9.0
2014,01025,AL,Clarke County,12.2
2014,01027,AL,Clay County,7.1
2014,01029,AL,Cleburne County,6.6
2014,01031,AL,Coffee County,6.6
2014,01033,AL,Colbert County,8.3
2014,01035,AL,Conecuh County,10.3
2014,01037,AL,Coosa County,8.8
2014,01039,AL,Covington County,7.8
2014,01041,AL,Crenshaw County,6.9
2014,01043,AL,Cullman County,6.1
2014,01045,AL,Dale County,7.1
2014,01047,AL,Dallas County,11.2
2014,01049,AL,DeKalb County,6.9
2014,01051,AL,Elmore County,5.7
2014,01053,AL,Escambia County,8.0
2014,01055,AL,Etowah County,7.0
2014,01057,AL,Fayette County,7.8
2014,01059,AL,Franklin County,7.7
2014,01061,AL,Geneva County,6.7
2014,01063,AL,Greene County,12.5
2014,01065,AL,Hale County,9.9
2014,01067,AL,Henry County,7.5
2014,01069,AL,Houston County,6.8
2014,01071,AL,Jackson County,7.3
2014,01073,AL,Jefferson County,6.3
2014,01075,AL,Lamar County,7.0
2014,01077,AL,Lauderdale County,7.2
2014,01079,AL,Lawrence County,8.2
2014,01081,AL,Lee County,5.6
2014,01083,AL,Limestone County,6.1
2014,01085,AL,Lowndes County,12.8
2014,01087,AL,Macon County,9.1
2014,01089,AL,Madison County,6.2
2014,01091,AL,Marengo County,8.0
2014,01093,AL,Marion County,7.9
2014,01095,AL,Marshall County,6.7
2014,01097,AL,Mobile County,7.7
2014,01099,AL,Monroe County,11.1
2014,01101,AL,Montgomery County,6.9
2014,01103,AL,Morgan County,6.6
2014,01105,AL,Perry County,12.1
2014,01107,AL,Pickens County,8.2
2014,01109,AL,Pike County,7.4
2014,01111,AL,Randolph County,6.7
2014,01113,AL,Russell County,6.5
2014,01115,AL,St. Clair County,5.8
2014,01117,AL,Shelby County,4.5
2014,01119,AL,Sumter County,8.5
2014,01121,AL,Talladega County,7.8
2014,01123,AL,Tallapoosa County,7.5
2014,01125,AL,Tuscaloosa County,5.9
2014,01127,AL,Walker County,7.9
2014,01129,AL,Washington County,9.6
2014,01131,AL,Wilcox County,16.9
2014,01133,AL,Winston County,8.6
2014,02013,AK,Aleutians East Borough,4.5
2014,02016,AK,Aleutians West Census Area,4.8
2014,02020,AK,Anchorage Municipality,5.2
2014,02050,AK,Bethel Census Area,16.1
2014,02060,AK,Bristol Bay Borough,8.0
2014,02068,AK,Denali Borough,10.4
2014,02070,AK,Dillingham Census Area,10.1
2014,02090,AK,Fairbanks North Star Borough,5.8
2014,02100,AK,Haines Borough,10.7
2014,02105,AK,Hoonah-Angoon Census Area,15.2
2014,02110,AK,Juneau City and Borough,5.1
2014,02122,AK,Kenai Peninsula Borough,7.9
2014,02130,AK,Ketchikan Gateway Borough,7.9
2014,02150,AK,Kodiak Island Borough,5.7
2014,02158,AK,Kusilvak Census Area,23.8
2014,02164,AK,Lake and Peninsula Borough,16.3
2014,02170,AK,Matanuska-Susitna Borough,8.1
2014,02180,AK,Nome Census Area,12.3
2014,02185,AK,North Slope Borough,6.0
2014,02188,AK,Northwest Arctic Borough,17.0
2014,02195,AK,Petersburg Borough,9.5
2014,02198,AK,Prince of Wales-Hyder Census Area,13.4
2014,02220,AK,Sitka City and Borough,5.1
2014,02230,AK,Skagway Municipality,11.9
2014,02240,AK,Southeast Fairbanks Census Area,13.2
2014,02261,AK,Valdez-Cordova Census Area,9.6
2014,02275,AK,Wrangell City and Borough,8.4
2014,02282,AK,Yakutat City and Borough,9.9
2014,02290,AK,Yukon-Koyukuk Census Area,19.0
2014,04001,AZ,Apache County,15.7
2014,04003,AZ,Cochise County,8.4
2014,04005,AZ,Coconino County,7.1
2014,04007,AZ,Gila County,8.3
2014,04009,AZ,Graham County,7.4
2014,04011,AZ,Greenlee County,6.5
2014,04012,AZ,La Paz County,7.6
2014,04013,AZ,Maricopa County,5.8
2014,04015,AZ,Mohave County,8.7
2014,04017,AZ,Navajo County,11.1
2014,04019,AZ,Pima County,6.0
2014,04021,AZ,Pinal County,7.0
2014,04023,AZ,Santa Cruz County,12.9
2014,04025,AZ,Yavapai County,6.4
2014,04027,AZ,Yuma County,22.9
2014,05001,AR,Arkansas County,5.4
2014,05003,AR,Ashley County,9.0
2014,05005,AR,Baxter County,6.7
2014,05007,AR,Benton County,4.6
2014,05009,AR,Boone County,6.0
2014,05011,AR,Bradley County,8.1
2014,05013,AR,Calhoun County,6.6
2014,05015,AR,Carroll County,5.2
2014,05017,AR,Chicot County,10.5
2014,05019,AR,Clark County,6.8
2014,05021,AR,Clay County,7.8
2014,05023,AR,Cleburne County,8.3
2014,05025,AR,Cleveland County,6.8
2014,05027,AR,Columbia County,7.1
2014,05029,AR,Conway County,7.1
2014,05031,AR,Craighead County,5.4
2014,05033,AR,Crawford County,6.0
2014,05035,AR,Crittenden County,7.4
2014,05037,AR,Cross County,6.4
2014,05039,AR,Dallas County,9.0
2014,05041,AR,Desha County,8.0
2014,05043,AR,Drew County,8.3
2014,05045,AR,Faulkner County,5.5
2014,05047,AR,Franklin County,5.7
2014,05049,AR,Fulton County,5.8
2014,05051,AR,Garland County,6.3
2014,05053,AR,Grant County,5.5
2014,05055,AR,Greene County,6.3
2014,05057,AR,Hempstead County,5.9
2014,05059,AR,Hot Spring County,5.8
2014,05061,AR,Howard County,5.8
2014,05063,AR,Independence County,7.8
2014,05065,AR,Izard County,7.5
2014,05067,AR,Jackson County,9.2
