date,cbsa_code,city_description,population,actual_murder,actual_all_crimes,actual_index_violent
2014-01-01,12420,"Austin-Round Rock, TX Metro Area",1941049,5,6686.0,10.285714285714286
2014-01-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,4,8141.0,7.107843137254902
2014-01-01,17900,"Columbia, SC Metro Area",804684,5,3172.0,4.564102564102564
2014-01-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,22,23204.0,11.071428571428571
2014-01-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,7,8875.0,93.91666666666667
2014-01-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,6,6777.0,7.592592592592593
2014-01-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-01-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,14,16890.0,34.625
2014-01-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,19,13602.0,15.21951219512195
2014-01-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-02-01,12420,"Austin-Round Rock, TX Metro Area",1941049,3,5893.0,9.333333333333334
2014-02-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,12,6774.0,5.401960784313726
2014-02-01,17900,"Columbia, SC Metro Area",804684,6,2783.0,3.8076923076923075
2014-02-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,14,18955.0,9.083333333333334
2014-02-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,6,7591.0,93.5
2014-02-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,12,5970.0,6.027777777777778
2014-02-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-02-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,13,14029.0,28.0
2014-02-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,11,11581.0,11.78048780487805
2014-02-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-03-01,12420,"Austin-Round Rock, TX Metro Area",1941049,3,6648.0,11.333333333333334
2014-03-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,13,8100.0,6.588235294117647
2014-03-01,17900,"Columbia, SC Metro Area",804684,3,3214.0,4.871794871794871
2014-03-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,21,20952.0,10.422619047619047
2014-03-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,14,8647.0,113.0
2014-03-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,8,6818.0,7.916666666666667
2014-03-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-03-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,13,15348.0,35.1
2014-03-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,14,12527.0,14.28048780487805
2014-03-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-04-01,12420,"Austin-Round Rock, TX Metro Area",1941049,2,6936.0,11.023809523809524
2014-04-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,5,8387.0,7.176470588235294
2014-04-01,17900,"Columbia, SC Metro Area",804684,7,3466.0,5.102564102564102
2014-04-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,20,22239.0,11.25
2014-04-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,18,8469.0,104.41666666666667
2014-04-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,6,7475.0,8.574074074074074
2014-04-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-04-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,19,15085.0,32.125
2014-04-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,24,13190.0,13.695121951219512
2014-04-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-05-01,12420,"Austin-Round Rock, TX Metro Area",1941049,1,7214.0,11.5
2014-05-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,3,9434.0,8.235294117647058
2014-05-01,17900,"Columbia, SC Metro Area",804684,3,3696.0,5.269230769230769
2014-05-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,23,23939.0,12.666666666666666
2014-05-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,14,8749.0,108.33333333333333
2014-05-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,5,8392.0,9.50925925925926
2014-05-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-05-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,13,15782.0,38.325
2014-05-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,21,13279.0,16.134146341463413
2014-05-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
